RiesgoNormalizado,CiudadNormalizada,MesFecha,Sector,TrabDep,TrabInd,AccTraCal
1,1,1,1,120139,45251,251
1,1,1,2,1389,5042,11
1,1,1,3,195647,6229,502
1,1,1,4,171183,13109,222
1,1,1,5,145374,10402,175
1,1,1,6,38991,442,335
1,1,1,7,3495,89,5
1,1,1,8,470806,22078,611
1,1,1,9,47286,399,57
1,1,1,17,73324,9602,211
1,1,1,17,34691,5372,103
1,1,1,17,25042,559,21
2,1,1,1,18015,863,25
2,1,1,2,24116,757,301
2,1,1,3,131172,3134,660
2,1,1,3,358,21,1
2,1,1,5,6561,261,4
2,1,1,6,60149,636,424
2,1,1,7,62134,842,261
2,1,1,8,107995,1941,540
2,1,1,8,225,3,1
2,1,1,17,16834,2483,122
2,1,1,17,10792,1941,75
2,1,1,17,69245,2383,155
3,1,1,2,3231,245,226
3,1,1,3,3974,845,195
3,1,1,3,5772,462,26
3,1,1,4,4126,356,20
3,1,1,6,7255,53,63
3,1,1,7,207977,519,1436
3,1,1,8,162898,3811,1011
3,1,1,8,73,1,0
3,1,1,8,565,448,1
3,1,1,17,24468,1568,226
3,1,1,17,97802,33127,717
3,1,1,17,36188,2429,251
4,1,1,2,282,48,24
4,1,1,3,25365,1583,140
4,1,1,3,17203,497,71
4,1,1,4,5802,141,16
4,1,1,7,31806,1129,201
4,1,1,8,193629,723,542
4,1,1,8,511,8,6
4,1,1,8,236,2,2
4,1,1,17,1314,53,13
4,1,1,17,160332,37882,899
5,1,1,1,29725,1507,186
5,1,1,2,637,13,7
5,1,1,3,3691,171,23
5,1,1,3,229712,699,1296
5,1,1,7,30235,1087,203
5,1,1,8,118091,5742,739
5,1,1,8,60037,1638,285
5,1,1,17,548,101,1
5,1,1,17,4213,1159,15
5,1,1,17,14067,160,100
1,2,1,1,20471,3682,34
1,2,1,2,1285,565,4
1,2,1,3,80326,880,184
1,2,1,4,46822,6052,75
1,2,1,5,48368,274,78
1,2,1,6,11883,49,64
1,2,1,7,4458,72,5
1,2,1,8,167383,8983,274
1,2,1,9,26081,121,47
1,2,1,17,29906,2225,81
1,2,1,17,11048,3143,31
1,2,1,17,5381,210,4
2,2,1,1,2505,1298,1
2,2,1,2,43315,606,716
2,2,1,3,41928,430,217
2,2,1,3,170,7,0
2,2,1,5,1136,19,5
2,2,1,6,22014,113,160
2,2,1,7,50542,332,231
2,2,1,8,27581,641,210
2,2,1,8,257,3,5
2,2,1,17,7865,427,40
2,2,1,17,5308,603,31
2,2,1,17,12963,256,59
3,2,1,2,7286,20,66
3,2,1,3,16391,197,115
3,2,1,3,3166,213,18
3,2,1,4,3177,68,24
3,2,1,6,1784,7,17
3,2,1,7,8723,1463,818
3,2,1,8,8,1862,62
3,2,1,8,80,0,1
3,2,1,8,63,380,1
3,2,1,17,7832,2602,65
3,2,1,17,47829,7365,389
3,2,1,17,13351,420,138
4,2,1,2,1407,81,27
4,2,1,3,9777,150,79
4,2,1,3,10608,103,75
4,2,1,4,4624,75,41
4,2,1,7,13097,147,125
4,2,1,8,33682,52,165
4,2,1,8,217,4,0
4,2,1,8,158,0,3
4,2,1,17,305,35,5
4,2,1,17,68246,3049,413
5,2,1,1,304,196,35
5,2,1,2,228,0,0
5,2,1,3,581,17,10
5,2,1,3,114644,1818,1046
5,2,1,7,10111,219,103
5,2,1,8,23385,1044,197
5,2,1,8,10323,621,166
5,2,1,17,172,32,4
5,2,1,17,1632,368,11
5,2,1,17,1395,29,7
1,3,1,1,766,646,19
1,3,1,2,209,232,0
1,3,1,3,25266,461,67
1,3,1,4,17557,643,33
1,3,1,5,5907,205,6
1,3,1,6,3956,155,11
1,3,1,7,246,3,0
1,3,1,8,64467,1741,236
1,3,1,9,3437,42,4
1,3,1,17,12602,1103,14
1,3,1,17,4419,623,11
1,3,1,17,143,424,1
2,3,1,1,367,48,0
2,3,1,2,5076,281,93
2,3,1,3,21532,164,147
2,3,1,3,69,1,1
2,3,1,5,141,52,0
2,3,1,6,5359,37,29
2,3,1,7,7058,180,32
2,3,1,8,14193,180,56
2,3,1,8,13,1,0
2,3,1,17,2704,76,29
2,3,1,17,1498,254,10
2,3,1,17,6099,398,27
3,3,1,2,361,6,5
3,3,1,3,9837,210,56
3,3,1,3,949,55,1
3,3,1,4,1267,3,6
3,3,1,6,1038,9,12
3,3,1,7,30128,472,184
3,3,1,8,33419,262,178
3,3,1,8,0,0,0
3,3,1,8,1,0,0
3,3,1,17,4375,90,18
3,3,1,17,28661,1792,166
3,3,1,17,7895,102,50
4,3,1,2,865,8,12
4,3,1,3,348,522,16
4,3,1,3,4624,184,25
4,3,1,4,3219,64,12
4,3,1,7,4893,208,38
4,3,1,8,14714,231,56
4,3,1,8,21,1,0
4,3,1,8,61,0,2
4,3,1,17,97,6,2
4,3,1,17,15895,559,87
5,3,1,1,946,1,7
5,3,1,2,96,2,1
5,3,1,3,118,33,7
5,3,1,3,59233,1313,226
5,3,1,7,1096,136,64
5,3,1,8,1385,376,49
5,3,1,8,3951,116,23
5,3,1,17,25,0,0
5,3,1,17,763,97,5
5,3,1,17,4491,19,38
1,6,1,1,3122,566,6
1,6,1,2,253,106,2
1,6,1,3,6747,87,16
1,6,1,4,3233,380,3
1,6,1,5,3901,47,6
1,6,1,6,846,3,4
1,6,1,7,69,0,0
1,6,1,8,1133,275,13
1,6,1,9,649,1,2
1,6,1,17,3992,394,3
1,6,1,17,866,45,1
1,6,1,17,215,202,0
2,6,1,1,1436,2,2
2,6,1,2,4812,54,73
2,6,1,3,3042,36,18
2,6,1,3,32,0,0
2,6,1,5,172,0,0
2,6,1,6,1963,20,8
2,6,1,7,646,5,1
2,6,1,8,2536,164,20
2,6,1,8,169,1,0
2,6,1,17,514,235,4
2,6,1,17,396,18,5
2,6,1,17,443,132,1
3,6,1,2,1315,28,6
3,6,1,3,2394,28,11
3,6,1,3,387,2,0
3,6,1,4,844,14,8
3,6,1,6,98,1,1
3,6,1,7,5543,23,30
3,6,1,8,632,19,2
3,6,1,8,19,2,0
3,6,1,8,5,0,0
3,6,1,17,503,249,1
3,6,1,17,469,1789,34
3,6,1,17,1003,106,3
4,6,1,2,1559,17,24
4,6,1,3,1333,22,8
4,6,1,3,1648,5,4
4,6,1,4,805,8,6
4,6,1,7,1156,7,11
4,6,1,8,5809,13,18
4,6,1,17,40,15,0
4,6,1,17,7252,1085,9
5,6,1,1,883,88,7
5,6,1,2,376,26,0
5,6,1,3,164,1,1
5,6,1,3,1147,297,61
5,6,1,7,796,18,4
5,6,1,8,8273,186,40
5,6,1,8,1128,11,9
5,6,1,17,39,0,1
5,6,1,17,191,67,1
5,6,1,17,142,3,0
1,4,1,1,13495,9462,63
1,4,1,2,413,1293,4
1,4,1,3,50753,1007,128
1,4,1,4,37356,1469,60
1,4,1,5,30344,1974,50
1,4,1,6,5977,93,24
1,4,1,7,1288,18,3
1,4,1,8,105775,4896,136
1,4,1,9,1077,70,18
1,4,1,17,18732,1157,45
1,4,1,17,8188,663,14
1,4,1,17,2672,60,2
2,4,1,1,218,391,5
2,4,1,2,11443,254,102
2,4,1,3,26565,1041,128
2,4,1,3,38,0,2
2,4,1,5,1308,27,1
2,4,1,6,9265,120,52
2,4,1,7,21619,192,97
2,4,1,8,33037,282,192
2,4,1,8,155,0,2
2,4,1,17,2188,604,10
2,4,1,17,2847,226,12
2,4,1,17,3096,76,13
3,4,1,2,1817,37,23
3,4,1,3,13575,321,89
3,4,1,3,2051,84,3
3,4,1,4,944,85,5
3,4,1,6,1247,6,10
3,4,1,7,46452,894,274
3,4,1,8,37357,649,304
3,4,1,8,3,0,0
3,4,1,8,6,5,0
3,4,1,17,5579,122,51
3,4,1,17,42253,7634,262
3,4,1,17,6291,122,28
4,4,1,2,818,17,114
4,4,1,3,5047,144,42
4,4,1,3,5334,125,32
4,4,1,4,1303,24,13
4,4,1,7,12453,123,96
4,4,1,8,42268,81,170
4,4,1,8,204,1,0
4,4,1,8,25,0,0
4,4,1,17,527,9,0
4,4,1,17,40107,2011,257
5,4,1,1,2454,396,17
5,4,1,2,203,21,0
5,4,1,3,115,26,5
5,4,1,3,66166,1001,348
5,4,1,7,4251,119,36
5,4,1,8,14799,365,85
5,4,1,8,670,13,12
5,4,1,17,15,16,0
5,4,1,17,1317,353,6
5,4,1,17,1041,14,4
1,5,1,1,2591,140,5
1,5,1,2,70,65,0
1,5,1,3,34,77,12
1,5,1,4,3218,320,2
1,5,1,5,342,24,0
1,5,1,6,875,12,4
1,5,1,7,37,0,0
1,5,1,8,668,138,19
1,5,1,9,740,5,1
1,5,1,17,1626,128,0
1,5,1,17,1079,16,3
1,5,1,17,364,46,2
2,5,1,1,105,11,0
2,5,1,2,1682,70,405
2,5,1,3,2013,80,14
2,5,1,3,1,0,0
2,5,1,5,103,4,0
2,5,1,6,4284,44,45
2,5,1,7,197,4,1
2,5,1,8,1322,28,5
2,5,1,8,43,1,0
2,5,1,17,159,18,1
2,5,1,17,129,10,2
2,5,1,17,592,20,2
3,5,1,2,66,0,4
3,5,1,3,1005,38,4
3,5,1,3,563,4,1
3,5,1,4,414,7,2
3,5,1,6,66,0,3
3,5,1,7,2441,89,22
3,5,1,8,1025,60,7
3,5,1,8,0,0,0
3,5,1,17,450,219,4
3,5,1,17,374,1046,26
3,5,1,17,774,63,1
4,5,1,2,389,1,5
4,5,1,3,784,14,2
4,5,1,3,671,7,1
4,5,1,4,155,0,0
4,5,1,7,1991,10,14
4,5,1,8,1457,2,6
4,5,1,8,2,0,0
4,5,1,8,12,0,1
4,5,1,17,83,8,0
4,5,1,17,4946,359,26
5,5,1,1,492,50,7
5,5,1,2,72,0,0
5,5,1,3,109,15,1
5,5,1,3,7236,75,51
5,5,1,7,874,32,9
5,5,1,8,1744,21,22
5,5,1,8,221,8,5
5,5,1,17,48,3,0
5,5,1,17,120,15,0
5,5,1,17,2221,81,18
1,1,2,1,125921,59821,336
1,1,2,2,1456,5894,12
1,1,2,3,198699,6296,432
1,1,2,4,211251,34401,482
1,1,2,5,156185,10516,229
1,1,2,6,39926,453,309
1,1,2,7,3859,88,4
1,1,2,8,476052,26797,673
1,1,2,9,48439,407,60
1,1,2,17,76732,11613,235
1,1,2,17,36171,6519,115
1,1,2,17,25279,853,31
2,1,2,1,18107,907,27
2,1,2,2,23753,776,344
2,1,2,3,132282,3317,726
2,1,2,3,409,28,0
2,1,2,5,6848,267,6
2,1,2,6,63258,629,451
2,1,2,7,63996,861,273
2,1,2,8,110484,2746,540
2,1,2,8,236,3,1
2,1,2,17,17015,2731,89
2,1,2,17,10958,2064,64
2,1,2,17,71381,243,134
3,1,2,2,31709,251,215
3,1,2,3,40014,899,205
3,1,2,3,11352,461,15
3,1,2,4,4115,403,15
3,1,2,6,9831,53,67
3,1,2,7,21302,5289,1681
3,1,2,8,161121,3987,980
3,1,2,8,111,4,0
3,1,2,8,582,419,0
3,1,2,17,25016,3201,222
3,1,2,17,9742,33382,677
3,1,2,17,39123,2458,237
4,1,2,2,3039,42,28
4,1,2,3,26053,2234,158
4,1,2,3,17297,504,76
4,1,2,4,5845,118,18
4,1,2,7,32851,115,214
4,1,2,8,193312,743,517
4,1,2,8,539,8,3
4,1,2,8,225,2,3
4,1,2,17,1394,119,18
4,1,2,17,16498,42058,916
5,1,2,1,30084,2885,266
5,1,2,2,641,16,3
5,1,2,3,3942,149,20
5,1,2,3,241418,7415,149
5,1,2,7,31596,1685,225
5,1,2,8,121372,5762,848
5,1,2,8,60406,1731,274
5,1,2,17,534,158,1
5,1,2,17,4284,1233,27
5,1,2,17,14415,493,90
1,2,2,1,20444,3697,39
1,2,2,2,1282,600,7
1,2,2,3,79901,895,196
1,2,2,4,63756,7412,114
1,2,2,5,48369,2757,76
1,2,2,6,12367,113,62
1,2,2,7,4768,74,4
1,2,2,8,166532,5948,287
1,2,2,9,26545,137,65
1,2,2,17,30968,2369,97
1,2,2,17,12157,3097,38
1,2,2,17,5524,206,7
2,2,2,1,2411,1197,6
2,2,2,2,42428,325,703
2,2,2,3,40614,315,181
2,2,2,3,160,7,0
2,2,2,5,1253,20,0
2,2,2,6,22144,99,164
2,2,2,7,50634,341,263
2,2,2,8,28621,546,173
2,2,2,8,271,2,3
2,2,2,17,8267,635,42
2,2,2,17,5821,470,39
2,2,2,17,12923,252,54
3,2,2,2,685,19,69
3,2,2,3,15487,194,137
3,2,2,3,3231,212,22
3,2,2,4,2435,9,12
3,2,2,6,1897,10,13
3,2,2,7,83406,1246,774
3,2,2,8,8149,1681,62
3,2,2,8,82,0,0
3,2,2,8,48,381,3
3,2,2,17,7522,3047,79
3,2,2,17,46807,6232,316
3,2,2,17,13787,412,143
4,2,2,2,1328,81,38
4,2,2,3,9192,154,63
4,2,2,3,10542,117,89
4,2,2,4,4548,84,43
4,2,2,7,10984,129,132
4,2,2,8,33791,53,128
4,2,2,8,114,5,1
4,2,2,8,162,0,3
4,2,2,17,273,21,3
4,2,2,17,67337,2903,386
5,2,2,1,3035,207,26
5,2,2,2,201,29,4
5,2,2,3,546,19,2
5,2,2,3,112377,1908,1129
5,2,2,7,956,214,119
5,2,2,8,2279,1136,243
5,2,2,8,10172,621,201
5,2,2,17,179,43,0
5,2,2,17,1609,372,6
5,2,2,17,1399,32,8
1,3,2,1,6873,1547,13
1,3,2,2,207,273,1
1,3,2,3,25758,478,50
1,3,2,4,21192,747,52
1,3,2,5,6188,236,3
1,3,2,6,4165,165,29
1,3,2,7,278,4,0
1,3,2,8,6337,2056,245
1,3,2,9,3479,44,3
1,3,2,17,13087,2127,21
1,3,2,17,4378,796,11
1,3,2,17,1632,401,1
2,3,2,1,372,65,0
2,3,2,2,5056,285,97
2,3,2,3,21716,155,150
2,3,2,3,149,1,0
2,3,2,5,1541,61,1
2,3,2,6,5448,50,24
2,3,2,7,7566,187,32
2,3,2,8,14513,281,60
2,3,2,8,14,1,0
2,3,2,17,2921,71,20
2,3,2,17,1578,256,10
2,3,2,17,6233,468,16
3,3,2,2,431,18,7
3,3,2,3,10024,245,36
3,3,2,3,1063,49,1
3,3,2,4,1188,0,8
3,3,2,6,1074,8,3
3,3,2,7,30762,493,210
3,3,2,8,32651,262,166
3,3,2,8,1,0,0
3,3,2,17,4598,205,16
3,3,2,17,29926,1647,164
3,3,2,17,7993,121,26
4,3,2,2,795,9,11
4,3,2,3,3705,631,17
4,3,2,3,4883,149,22
4,3,2,4,3171,65,10
4,3,2,7,4899,195,46
4,3,2,8,14862,151,47
4,3,2,8,20,1,0
4,3,2,8,60,0,0
4,3,2,17,105,10,0
4,3,2,17,16262,567,99
5,3,2,1,930,11,10
5,3,2,2,94,2,1
5,3,2,3,127,21,7
5,3,2,3,59643,1219,220
5,3,2,7,10233,139,44
5,3,2,8,14865,380,65
5,3,2,8,4017,149,23
5,3,2,17,34,3,0
5,3,2,17,754,102,8
5,3,2,17,4643,25,43
1,4,2,1,13623,14396,71
1,4,2,2,427,116,1
1,4,2,3,5095,891,134
1,4,2,4,41902,2261,110
1,4,2,5,30618,2194,35
1,4,2,6,5853,88,19
1,4,2,7,1384,27,5
1,4,2,8,111743,5152,192
1,4,2,9,9632,63,14
1,4,2,17,19179,1361,55
1,4,2,17,849,724,28
1,4,2,17,3001,63,1
2,4,2,1,223,427,6
2,4,2,2,11396,243,104
2,4,2,3,26707,1081,200
2,4,2,3,41,0,0
2,4,2,5,1368,29,0
2,4,2,6,9527,126,57
2,4,2,7,22834,206,102
2,4,2,8,33396,350,221
2,4,2,8,194,0,1
2,4,2,17,6407,1031,6
2,4,2,17,4244,232,11
2,4,2,17,3208,77,33
3,4,2,2,1864,61,16
3,4,2,3,14664,310,116
3,4,2,3,2264,89,6
3,4,2,4,955,95,6
3,4,2,6,1431,7,8
3,4,2,7,47955,973,285
3,4,2,8,37261,699,339
3,4,2,8,3,0,0
3,4,2,8,6,5,0
3,4,2,17,5819,1385,51
3,4,2,17,47022,7641,266
3,4,2,17,5802,119,32
4,4,2,2,8071,26,140
4,4,2,3,5211,188,52
4,4,2,3,7269,108,26
4,4,2,4,1338,29,10
4,4,2,7,12564,121,138
4,4,2,8,42048,86,195
4,4,2,8,213,1,1
4,4,2,8,19,1,0
4,4,2,17,547,28,7
4,4,2,17,41827,2137,252
5,4,2,1,2452,424,13
5,4,2,2,124,19,1
5,4,2,3,1166,26,16
5,4,2,3,68314,1136,389
5,4,2,7,445,114,40
5,4,2,8,15801,373,83
5,4,2,8,669,17,9
5,4,2,17,15,23,0
5,4,2,17,1365,381,8
5,4,2,17,1033,20,4
1,5,2,1,2606,245,8
1,5,2,2,71,70,1
1,5,2,3,3417,87,12
1,5,2,4,4982,585,7
1,5,2,5,349,24,0
1,5,2,6,892,10,1
1,5,2,7,34,1,0
1,5,2,8,665,185,21
1,5,2,9,797,5,0
1,5,2,17,1819,212,6
1,5,2,17,1209,150,3
1,5,2,17,366,76,2
2,5,2,1,104,13,0
2,5,2,2,16862,64,426
2,5,2,3,2021,82,10
2,5,2,3,1,0,0
2,5,2,5,71,3,0
2,5,2,6,4258,38,34
2,5,2,7,180,5,1
2,5,2,8,1229,35,8
2,5,2,8,48,1,0
2,5,2,17,167,6,0
2,5,2,17,165,12,2
2,5,2,17,584,34,2
3,5,2,2,70,0,0
3,5,2,3,102,39,5
3,5,2,3,559,3,3
3,5,2,4,409,15,1
3,5,2,6,76,0,0
3,5,2,7,2383,100,18
3,5,2,8,1076,259,7
3,5,2,8,0,1,0
3,5,2,17,487,206,3
3,5,2,17,3424,1252,28
3,5,2,17,743,71,4
4,5,2,2,388,31,4
4,5,2,3,740,12,9
4,5,2,3,624,7,2
4,5,2,4,131,1,1
4,5,2,7,209,10,21
4,5,2,8,1458,2,10
4,5,2,8,2,0,0
4,5,2,8,3,0,0
4,5,2,17,84,8,0
4,5,2,17,5052,372,16
5,5,2,1,510,46,5
5,5,2,2,79,0,0
5,5,2,3,109,15,0
5,5,2,3,7435,90,51
5,5,2,7,920,27,14
5,5,2,8,1766,18,13
5,5,2,8,219,2,2
5,5,2,17,52,7,0
5,5,2,17,121,15,1
5,5,2,17,2265,99,22
1,6,2,1,3182,843,8
1,6,2,2,249,274,1
1,6,2,3,7162,86,11
1,6,2,4,4883,866,10
1,6,2,5,3763,45,5
1,6,2,6,906,6,3
1,6,2,7,73,0,0
1,6,2,8,11942,329,12
1,6,2,9,675,1,2
1,6,2,17,4443,566,9
1,6,2,17,895,99,3
1,6,2,17,215,223,0
2,6,2,1,1439,3,5
2,6,2,2,4942,32,63
2,6,2,3,3138,37,25
2,6,2,3,42,0,0
2,6,2,5,236,0,1
2,6,2,6,2499,78,9
2,6,2,7,679,5,1
2,6,2,8,258,271,13
2,6,2,8,172,1,0
2,6,2,17,526,241,3
2,6,2,17,458,17,2
2,6,2,17,466,132,0
3,6,2,2,1343,29,10
3,6,2,3,2484,27,10
3,6,2,3,413,14,1
3,6,2,4,833,14,5
3,6,2,6,91,1,0
3,6,2,7,5697,38,21
3,6,2,8,642,62,3
3,6,2,8,5,0,0
3,6,2,17,542,211,9
3,6,2,17,4699,1798,40
3,6,2,17,995,109,3
4,6,2,2,1574,16,19
4,6,2,3,1351,21,7
4,6,2,3,1774,5,2
4,6,2,4,809,8,4
4,6,2,7,1187,7,14
4,6,2,8,5917,29,22
4,6,2,17,36,13,2
4,6,2,17,783,1107,20
5,6,2,1,880,85,8
5,6,2,2,295,29,1
5,6,2,3,147,1,1
5,6,2,3,12889,324,101
5,6,2,7,851,22,3
5,6,2,8,8391,221,52
